"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Vásquez-Álvarez P.E.; Flores-Vázquez C.; Cobos-Torres J.-C.; Cobos-Mora S.L.","Vásquez-Álvarez, Paul Eduardo (57872347900); Flores-Vázquez, Carlos (58204845600); Cobos-Torres, Juan-Carlos (57196319620); Cobos-Mora, Sandra Lucía (57217296815)","57872347900; 58204845600; 57196319620; 57217296815","Urban Heat Island Mitigation through Planned Simulation","2022","Sustainability (Switzerland)","14","14","8612","","","","15","10.3390/su14148612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181272&doi=10.3390%2fsu14148612&partnerID=40&md5=a0f224be9026649840aae9a1bc6d16d8","The urban heat island (UHI) phenomenon is caused by the anthropic alteration of the natural environment by urban expansion, its impermeable surfaces, and anthropic activities. In addition, urban morphology can also contribute to the increase in temperature in cities. The UHI effect can be described as an urban climate that is generally characterized by higher temperatures in densely built-up areas compared to surrounding areas. This effect impacts the environmental stress of the city and directly affects the health and quality of life of its inhabitants. Therefore, it is necessary to allocate resources to understand the UHI mechanism in cities in order to propose appropriate mitigation measures that will reduce energy consumption and improve living conditions. In this context, this research was aimed at analyzing the behavior of urban heat islands by replacing asphalt with cool paving materials (concrete) in roadways. Through computer simulations, using the ENVI-met software, the thermal variations of urban heat islands were examined. The city of Cuenca (Ecuador) was selected as the study area. The day of the analysis was 22 January 2020, which was recorded as the warmest day of the year, registering an average temperature of 16 °C. The findings of this research evidenced that, by replacing asphalt pavements with concrete pavements in the analyzed zones, land surface temperature (LST) could be reduced by 8 °C and the global LST of the studied areas could be reduced by approximately 3 °C. Consequently, the mean air temperature of the study areas reflected a decrease of up to 0.83 °C. © 2022 by the authors.","computer models; cool pavements; Cuenca; Ecuador; mitigation; urban heat island","Cuenca [Azuay]; Ecuador; environmental stress","Catholic University of Cuenca, (UCACUE-JIEI-2021-241-OF)","This project was funded by Catholic University of Cuenca by funding number UCACUE-JIEI-2021-241-OF.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137181272"
"Guaña-Moya J.; Sánchez-Zumba A.; Chérrez-Vintimilla P.; Chulde-Obando L.; Jaramillo-Flores P.; Pillajo-Rea C.","Guaña-Moya, Javier (57201853412); Sánchez-Zumba, Andrea (57212211839); Chérrez-Vintimilla, Paúl (58247468900); Chulde-Obando, Lorena (58247891700); Jaramillo-Flores, Paulina (57817456600); Pillajo-Rea, Cristian (58247062600)","57201853412; 57212211839; 58247468900; 58247891700; 57817456600; 58247062600","Most common computer attacks in the digitized world; [Ataques informáticos más comunes en el mundo digitalizado]","2022","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2022","E54","","87","100","13","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159196379&partnerID=40&md5=e23e7a8164405a2c16d003c119cb6bb7","The main objective of computer attacks is to financially harm individuals and organizations of all kinds. These attacks originate from a wide variety of programs, generally known as malware. As a consequence of this situation, organizations apply different strategies to prevent losses caused by these computer attacks, using cybersecurity knowledge that follows real-time information on the latest data about information security in computer systems. The objective of this bibliographic review is to determine the most common types of cyberattacks in today’s digitalized world in order to understand how these are developed and what these threats consist of, knowledge that will allow establishing techniques and methods to minimize the effects they cause on the information security, considering that the main vulnerability within digital processes is the human factor. © 2022, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","cyberattacks; digital processes; information technology (IT); Malware","","","","Article","Final","","Scopus","2-s2.0-85159196379"
"Verdugo E.P.R.; Cárdenas M.F.P.; Reinoso J.R.R.; Urgilés C.H.F.","Verdugo, Erika Paola Rojas (57226653327); Cárdenas, María Fernanda Peralta (57204196308); Reinoso, Johanna Rosalí Reyes (57204457429); Urgilés, Christian Humberto Flores (57200213750)","57226653327; 57204196308; 57204457429; 57200213750","Nursing Care in Pediatric Covid-19 Pneumonia","2021","Lecture Notes in Networks and Systems","263","","","547","554","7","0","10.1007/978-3-030-80744-3_68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112135649&doi=10.1007%2f978-3-030-80744-3_68&partnerID=40&md5=3e161fc88c540cfc598abc7ac31c771a","At the end of December 2019, in the province of Wujan in China, a virus was detected that would later be called SARS-COV-2, a new acute respiratory syndrome that was subsequently declared by the World Health Organization in March 2020 as a pandemic; A clinical case is presented of a girl who is taken to a health care center by her mother, for presenting chest pain with faster breathing and shortness of breath, a rapid test is positive for IGG and negative IGM for Covid 19. The results after reviewing the patient’s clinical history, focusing on the signs and symptoms presented by the patient, confirmed the definitive medical diagnosis of Covid-19 pneumonia, thanks to the complementary tests performed that confirmed the pathology, therapeutic schemes both drugs and alternative therapies, evolution and relevant information on the patient’s health status and quality of life. A step-by-step structured interview was carried out, based on the patient’s needs as described by Marjory Gordon. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Covid-19; Patient Diagnosis; Pneumonia; Symptoms","","","","Conference paper","Final","","Scopus","2-s2.0-85112135649"
"Toledo M.A.; Alvarez C.M.; Morales D.X.; Arias C.E.","Toledo, M.A. (57193931570); Alvarez, C.M. (57218645935); Morales, D.X. (56275876400); Arias, C.E. (57215528070)","57193931570; 57218645935; 56275876400; 57215528070","Errors in the measurement systems with the inclusion of single-phase loads at 220V in three-phase distribution networks","2019","IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, CHILECON 2019","","","8987564","","","","1","10.1109/CHILECON47746.2019.8987564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081066114&doi=10.1109%2fCHILECON47746.2019.8987564&partnerID=40&md5=e7bf3b9e8b8e7b10927d3377272e770d","This research analyzes the problems presented by the measurement systems in one Phase three wires electrical distribution networks when single-phase loads are connected to 220V and proposes to replace the equation to eliminate the error that occurs in the energy meter. This case of study was given in Ecuador due to the massive inclusion of induction cookers through the change of the energy matrix promoted by the state since this account with more than 90 of hydroelectric energy to meet their electric demand.It is important to explain that this research does not include in the state of the art the problem and the solutions, because this novelty was presented promptly in Ecuador due to the technical conditions of the energy distribution system, at the voltage level versus the construction voltage of the single-phase loads that in the case of induction cookers were imported from countries that handle 220V single-phase voltages. This consequence does not present a choice, it is ethical for those responsible for the measurement systems of the Utility, to present a solution to the inconvenience of how it is developed in this investigation. © 2019 IEEE.","ED's; Error in Measurement System; RSND; Single Phase Loads; Three Phase Networks","Errors; Electrical distribution networks; Energy distributions; Hydroelectric energy; Measurement system; RSND; Single-phase loads; Technical conditions; Three phase networks; Electric load distribution","Smart University; Universidad Católica de Cuenca; Universitat Politècnica de València, UPV","Submission date for review “CHILECON” June-12-2019. This work was supported by “Universitat Politèctica de València” in Valencia (Spain), the Smart University 2.0 Research Group of the “Universidad Católica de Cuenca” (Ecuador), and the Utility ”CENTROSUR” for the data, equipment and laboratory to perform the tests (Ecuador). This research was developed by M.A. Toledo – C.M. Álvarez of the Universitat Politècnica de València, Camí de Vera, s / n, 46022 València (email: martoor@doctor.upv.es - calvarez@upv.es), currently in the Electrical Engineering Department, D.X. Morales of the Catholic University of Cuenca (email: dmoralesj@ucacue.edu.ec) and C.E. Árias of the Universidad Politécnica Salesiana of Cuenca (email: cari-asma@est.ups.edu.ec","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85081066114"
"Icaza D.; Flores-Vázquez C.; Cobos-Torres J.-C.; Galindo S.P.","Icaza, Daniel (57193059185); Flores-Vázquez, Carlos (58204845600); Cobos-Torres, Juan-Carlos (57196319620); Galindo, Santiago Pulla (57215927083)","57193059185; 58204845600; 57196319620; 57215927083","Organic Constructions and Airplane Type Hostels in Isolated Places Supplied with Solar Energy","2020","Communications in Computer and Information Science","1195 CCIS","","","231","243","12","5","10.1007/978-3-030-42531-9_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082387568&doi=10.1007%2f978-3-030-42531-9_19&partnerID=40&md5=26813ab9f6e3c2d4f21bd971aeb3a37d","For this research work, it was considered a renewable energy source that harness the energy of solar radiation to transform itself into electrical energy and supply the organic constructions and airplane type hostels located between the mountains in places of high tourist potential. In the present work of investigation also presents the constructive case of the hostel type airplane, its characteristics, design, simulations and relevant data of the construction, the feasibility of implementing these autonomous constructions was analyzed to give greater value to the Ecuadorian areas with high potential tourist. The research process consisted in the collection of data on solar radiation, temperature, through meteorological stations located in various sectors of the Cuenca-Ecuador Canton. The simulations were carried out in MATLAB/Simulink based on a mathematical model established for this case. In the end, we present the results of this successful experience from the technical point of view. © 2020, Springer Nature Switzerland AG.","Isolated constructions; Modeling; Renewable energy; Rural development; Solar panel; Sustainable architecture","MATLAB; Models; Regional planning; Solar energy; Solar radiation; Autonomous constructions; Meteorological station; Organic construction; Renewable energies; Renewable energy source; Rural development; Solar panels; Sustainable architecture; Aircraft","Catholic University of Cuenca-Ecuador; San Agustin University of Arequipa-Peru","We thank the Catholic University of Cuenca-Ecuador and the San Agustin University of Arequipa-Peru.","Conference paper","Final","","Scopus","2-s2.0-85082387568"
"Macas A.A.M.; Carchi S.M.B.; Valencia H.J.O.; Urgiles C.D.U.","Macas, Angel Aurelio Morocho (57641399700); Carchi, Sonia Marlene Bonilla (57214148472); Valencia, Hugo Javier Ordoñez (57214154699); Urgiles, Cristian Danilo Urgiles (57640387800)","57641399700; 57214148472; 57214154699; 57640387800","Knowledge management in organizations: A conceptual systemic vision; [Gestión del conocimiento en las organizaciones: Una visión sistémica conceptual]","2019","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2019","E21","","327","340","13","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078345438&partnerID=40&md5=1091ed5a740b944b5f7d83891c19abc4","The markets globalization and the continuous technological, economic, and political changes force organizations to examine efficient administrative managerial approaches that benefit from the experiences and knowledge of their human resources in order to face the market’s current dynamics to achieve a competitive advantage and to improve their business management. The objective of this article is to carry out a theoretical approach to knowledge management in organizations. A theoretical descriptive documentary research work based on document review and bibliographic material was carried out. As a result, a conceptual approach of knowledge management, the beliefs that support it, the values that underlie it, the body of law and the general considerations for its implementation were obtained. In conclusion, knowledge management allows strengthening the explicit management of intangible assets to increase productivity and competitiveness through appropriate knowledge management. © 2019, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","Companies; Knowledge; Management; Organizations; Systemic","","","","Article","Final","","Scopus","2-s2.0-85078345438"
"Flores C.; Flores C.; Guasco T.; León-Acurio J.","Flores, Cristhian (57200213750); Flores, Cristina (57200213752); Guasco, Tito (57200216309); León-Acurio, Joffre (57200211577)","57200213750; 57200213752; 57200216309; 57200211577","A diagnosis of threat vulnerability and risk as it relates to the use of social media sites when utilized by adolescent students enrolled at the Urban Center of Canton Cañar","2018","Communications in Computer and Information Science","798","","","199","214","15","4","10.1007/978-3-319-72727-1_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040243116&doi=10.1007%2f978-3-319-72727-1_15&partnerID=40&md5=f8ac968ec1b22ce6fd40ea5f36c87e5f","The present article is the result of a research project executed by the Catholic University of Cuenca of Cañar Computer Engineering program: “Proposed Controls For Minimizing The Risks Arising From The Internet And Social Networks On High School Students In The Urban Center of Canton Cañar”. A Diagnosis of the internet and social networks use was performed as a means to determine digital vulnerabilities. Through a theoretical study it was determined which threats are most commonly inherent in utilizing the internet and social networks. Surveys were applied to 40% of enrolled students. Given surveys then indicated the common uses of the internet, social networks, and potential vulnerabilities that could be exploited by malicious people. Results determined that threats with higher risks are related to violations of privacy, which are visible to behavioral tendencies in the adolescents placing them in vulnerable situations susceptible to privacy violations. © Springer International Publishing AG 2018.","Digital vulnerabilities; Informatic risk; Information security; Social network; Threats","Calcium; Security of data; Students; Surveys; Urban growth; Computer engineering program; Digital vulnerabilities; High school students; Privacy violation; Social media; Theoretical study; Threats; Urban centers; Social networking (online)","","","Conference paper","Final","","Scopus","2-s2.0-85040243116"
"Toledo M.A.; Torres S.P.; Alvarez C.; Morales D.X.","Toledo, Marco A. (57193931570); Torres, Santiago P. (57192268040); Alvarez, C. (57218645935); Morales, Diego X. (56275876400)","57193931570; 57192268040; 57218645935; 56275876400","Energy autonomy of electric vehicles in topologically irregular cities: Case study cuenca - Ecuador","2020","2020 IEEE PES Transmission and Distribution Conference and Exhibition - Latin America, T and D LA 2020","","","9326242","","","","3","10.1109/TDLA47668.2020.9326242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100850829&doi=10.1109%2fTDLA47668.2020.9326242&partnerID=40&md5=3d9992575148a32e062dde8318729862","This research aims to determine the autonomy of electric vehicles in topologically irregular cities. The city's mobility plan, real-time measurements of battery discharge, altitude monitoring through GPS, EVs control panel records, and surveys to estimate the use and level of penetration of this technology are used. The information is analyzed considering the current electricity pricing and regulatory aspects to determine the cost that represents the load of the EVs under these conditions. Finally, the inclusion of EVs in the distribution network is simulated to infer some consequences on the electrical energy demand profile. © 2020 IEEE.","Electric Demand; Electric Vehicles; Energy Autonomy; Energy Efficiency; Internal Combustion Engine","Altitude control; Costs; Electric vehicles; Topology; Battery discharge; Control panels; Ecuador; Electrical energy demand; Electricity pricing; Energy autonomies; Real time measurements; Regulatory aspects; Electric discharges","Universidad de Cuenca and Universidad Católica de Cuenca; Universitat Politècnica de València, UPV","1This work was supported by Universitat Politècnica de València, Camino de Vera, s/n 46022 Valencia, Tel. (+34) 96 387 70 00 - Spain, Universidad de Cuenca and Universidad Católica de Cuenca, in Ecuador.","Conference paper","Final","","Scopus","2-s2.0-85100850829"
"Serpa-Andrade L.; González-González S.; Pérez-Muñoz A.; Vásquez-álvarez G.; Mata-Quevedo P.; Pérez-Muñoz D.","Serpa-Andrade, Luis (57202498037); González-González, Sandro (57204943006); Pérez-Muñoz, Angel (57204942269); Vásquez-álvarez, Gabriela (57219653416); Mata-Quevedo, Paul (57218294952); Pérez-Muñoz, Diana (57205603303)","57202498037; 57204943006; 57204942269; 57219653416; 57218294952; 57205603303","Fine motor skills stimulation in children: A proposal based on stuffed robots and rules-based reasoning","2020","RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao","2020","E33","","250","262","12","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094627142&partnerID=40&md5=af2854b91e9b1351d4e8b9c81bfc1eb2","This article shows an alternative therapy proposal implemented in a stuffed teddy as a support tool for therapists in fine motor stimulation with the purpose of innovating in traditional therapies, knowing that the use of technology is attractive and fun for children when they interact with a tool as if it were a toy, this tool is created with the intention of motivating children to strengthen and stimulate the muscles necessary for proper development in their school activities. © 2020, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.","Children; Fine motor; Stimulation; Stuffed robot; Support","","IA Transtornos Motores; Corporación Ecuatoriana para el Desarrollo de la Investigación y la Academia, CEDIA, (CEPRA-XIII-2019)","To the Corporación Ecuatoriana para el Desarrollo de la Investigación y Academia, CEDIA, for the funding provided to research, development and innovation, through CEPRA projects, especially the CEPRA-XIII-2019 project; “IA Transtornos Motores (Entorno inteligente interactivo baso en aprendizaje de máquina y sistemas embebidos para el soporte en los procesos de seguimiento y aprendizaje de niños con trastornos motores)’’.","Article","Final","","Scopus","2-s2.0-85094627142"
"Icaza D.; Flores-Vázquez C.; Pulla Galindo S.","Icaza, Daniel (57193059185); Flores-Vázquez, Carlos (58204845600); Pulla Galindo, Santiago (57215927083)","57193059185; 58204845600; 57215927083","Snake Hunting System Supplied with Solar Energy Based on Cages Installed in the Jungle for Strictly Curative Purposes, Promoting Ancestral Knowledge, Natural Medicine and Indigenous Cultural Products from Rural Areas","2020","Communications in Computer and Information Science","1194 CCIS","","","235","244","9","0","10.1007/978-3-030-42520-3_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082391345&doi=10.1007%2f978-3-030-42520-3_19&partnerID=40&md5=d4fbb15be953696b82b94b93b06aeef4","In the present article a basic design for the snake hunt in the Ecuadorian Jungle at a domestic scale is presented, minimizing the risk of bites and poisoning to the people who carry out these activities in these zones. The mechanism considers a source of autonomous solar energy supply to transform it into electrical energy. In the present work of investigation also the simulations in Matlab and their design characteristics are presented. The research process consisted of collecting data on solar radiation, temperature, through a meteorological station located in the Amazon rainforest. The exposed system does not have the purpose of exploitation on an industrial scale, which is intended to reduce the risk in the snake hunt and promote natural medicine, ancestral knowledge and maintain the cultural production of rural areas, peoples and nationalities that Throughout the times they have been developing in Ecuador. In the end, we present the results of the simulations and general design of the system for the snake hunt with the use of materials from the area and other materials that contribute to the conservation of the environment. © 2020, Springer Nature Switzerland AG.","Ancestral medicine; Cultural products; Modeling; Renewable energy; Rural development; Snakes; Solar panel","MATLAB; Models; Regional planning; Solar energy; Cultural products; Renewable energies; Rural development; Snakes; Solar panels; Rural areas","","","Conference paper","Final","","Scopus","2-s2.0-85082391345"
"Avila Calle M.; Orellana Quezada M.; Toledo Toledo J.; Tello Atiencia M.Á.; Córdova González F.","Avila Calle, Marco (59158390100); Orellana Quezada, Mauricio (57204184965); Toledo Toledo, Jorge (57200966059); Tello Atiencia, María de los Ángeles (57204188922); Córdova González, Federico (57204178072)","59158390100; 57204184965; 57200966059; 57204188922; 57204178072","Qualitative Architecture. A Multidisciplinary Approach to the Provision of Social Housing. Case Study Cuenca - Ecuador","2019","Advances in Intelligent Systems and Computing","861","","","210","222","12","1","10.1007/978-3-030-01406-3_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054847085&doi=10.1007%2f978-3-030-01406-3_18&partnerID=40&md5=e1e61b80ba201d68709172ad2c15e681","The cost of social housing is very high in Ecuador and in some Latin American countries, so the social class with low economic resources cannot access these housing programs, which is why self-construction has become the only viable alternative. to obtain housing in this social level. In the present investigation of qualitative and multidisciplinary approach, the social and habitability conditions presented by the population of low economic resources categorized in social stratum C- in the city of Cuenca are analyzed, in order to establish the spatial and constructive requirements, which allows generating design strategies to achieve a sustainable and affordable housing proposal for the social study group, guaranteeing covering the qualitative and quantitative deficit of housing in the city, thus improving the perception of the quality of life of the users. © 2019, Springer Nature Switzerland AG.","Architecture; Constant comparative; Qualitative research; Social housing","Architecture; Computer programming; Computer science; Affordable housing; Constant comparative; Design strategies; Economic resources; Housing programs; Multi-disciplinary approach; Qualitative research; Social housing; Housing","","","Conference paper","Final","","Scopus","2-s2.0-85054847085"
"Barrigas R.R.; Morales D.X.","Barrigas, Ricardo Rodríguez (57406424400); Morales, Diego X. (56275876400)","57406424400; 56275876400","Integration of the CYMDIST - RT-LAB Platforms for the Real Time Analyze of Distribution Networks","2021","International Journal on Advanced Science, Engineering and Information Technology","11","6","","2385","2392","7","0","10.18517/ijaseit.11.6.13453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122573941&doi=10.18517%2fijaseit.11.6.13453&partnerID=40&md5=491fef1469cedb08989127f026c1069e","Nowadays, one of the main challenges of electrical distribution companies is becoming part of the era of intelligent networks with computer systems developed in parallel with the electrical needs to obtain the entire distribution network simulations and models. The concept of automation must be implemented to carry out the planning, operation, and optimization processes of the behavior of the distribution networks. Thanks to this development, since 2004, the implementation of the simulation and the CYMDIST modeling system in Ecuador's electrical companies has been possible; nevertheless, with certain dynamic limitations in real-time. Therefore, this document presents the development of an interface that integrates the RT-LAB real-time simulation software to the CYMDIST environment, using the 34 node IEEE model. This proposed integration model will allow evaluating and validating the correct communication between the computer packages and examining the behavior of the proposed system under certain test scenarios that guarantee optimal performance by performing a load flow analysis that provides magnitude and angle values both in voltage and current. The results obtained were very close in levels of precision of the model, and it can be appreciated employing the proposed graphical interface. Furthermore, with this investigation, the possibility remains open for future investigations in which it is complemented with more detailed and complex analyzes. © 2021. All Rights Reserved.","communication; CYMDIST; interface; real-time; RT-LAB; simulations","","","","Article","Final","","Scopus","2-s2.0-85122573941"
"Flores-Vázquez C.; Bahon C.A.; Icaza D.; Cobos-Torres J.-C.","Flores-Vázquez, Carlos (58204845600); Bahon, Cecilio Angulo (23090235000); Icaza, Daniel (57193059185); Cobos-Torres, Juan-Carlos (57196319620)","58204845600; 23090235000; 57193059185; 57196319620","Developing a Socially-Aware Robot Assistant for Delivery Tasks","2020","Communications in Computer and Information Science","1194 CCIS","","","531","545","14","3","10.1007/978-3-030-42520-3_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082395197&doi=10.1007%2f978-3-030-42520-3_42&partnerID=40&md5=87e53e21fe34e8673dcac666c8748028","This paper discusses about elements to be considered for developing a Service Robot that performs its task in a social environment. Due to the social focus of the service, not only technical considerations are demanded in order to accomplish with the task, but also the acceptance of use for the people, who interact with all of them. As our particular research topic, we establish a taxonomy to determine the framework for the development of socially-aware robot assistants for serving tasks such as deliveries. This is a general approach to be considered for any service robot being implemented in a social context. This article presents several previous cases of the implementation of service mobile robots, their analysis and the motivation of how to solve their acceptance and use by people. Therefore, under this approach it is very important not to generate false expectations about the capabilities of the robot, because as it is explained in the state of the art analysis that very high unsatisfied expectations lead to leaving the robot unused.. © 2020, Springer Nature Switzerland AG.","Human - robot interaction; Mobile robotics; Service robotics; Social robotics; Technology acceptance","Human robot interaction; Mobile robots; Robotics; Social robots; Mobile robotic; Research topics; Service mobile robots; Service robotics; Social environment; Social robotics; State of the art; Technology acceptance; Economic and social effects","Catholic University of Cuenca; Polytechnic University of Catalonia BARCELONATECH; Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, SENESCYT","Supported by Catholic University of Cuenca - SENESCYT - Polytechnic University of Catalonia BARCELONATECH - GIRVyP Visible Radiation and Prototyping Research Group - Research Project: WAITERS ROBOTS WITH FOCUS ON SOCIAL ROBOTICS.","Conference paper","Final","","Scopus","2-s2.0-85082395197"
"Alvarez D.I.","Alvarez, Daniel Icaza (57193059185)","57193059185","Modeling, simulation and construction of the D-ICAZAA1 wind turbine destined for the rural areas of Ecuador","2017","2017 IEEE PES Innovative Smart Grid Technologies Conference - Latin America, ISGT Latin America 2017","2017-January","","","1","6","5","11","10.1109/ISGT-LA.2017.8126742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043459153&doi=10.1109%2fISGT-LA.2017.8126742&partnerID=40&md5=2907371d491a5b697b3eed2a39daca30","In this article the mathematical model is presented, the simulations carried out prior to the construction of an 800W wind turbine destined for the rural areas of Ecuador. The project then went on to a construction stage under extensive laboratory research and using specialized software with the intention of making its highest possible performance technically and economically accessible and innovative. This wind turbine was built to supply energy to rural homes and has the ability to self position after census of the direction of greater wind flow. The generation of energy is possible at very low speeds given that in the rotor of a vehicle alternator used for this case has attached permanent magnets. This wind turbine is already in operation in the locality of Puntahacienda of the Parish Quingeo of the Canton Cuenca where in many cases power is still being provided on the basis of generators diesel or gasoline. This project largely reveals the process and operating conditions of the equipment. © 2017 IEEE.","Cuenca-Ecuador.; Modeling; Puntahacienda-Quingeo; Renewable energy; Smart Grids; Wind turbine","Electric power transmission networks; Models; Rural areas; Wind turbines; Construction stages; Ecuador; Operating condition; Puntahacienda-Quingeo; Renewable energies; Smart grid; Specialized software; Wind flow; Smart power grids","","","Conference paper","Final","","Scopus","2-s2.0-85043459153"
"Chacho P.; Rivera P.; Maza J.; Icaza D.; Arias P.; Diaz J.; Amon X.; Sumba N.; Pallmay D.; Coyago C.","Chacho, Pablo (57215527351); Rivera, Pablo (57195127379); Maza, Juan (57215526751); Icaza, Daniel (57193059185); Arias, Pablo (57205935614); Diaz, Jair (57216145929); Amon, Xavier (57215528131); Sumba, Nixon (57215525272); Pallmay, Danilo (57215524627); Coyago, Christian (57215525481)","57215527351; 57195127379; 57215526751; 57193059185; 57205935614; 57216145929; 57215528131; 57215525272; 57215524627; 57215525481","Wireless System for the Control and Real Time Monitoring of Agricultural Areas of Arenillas Canton in Ecuador","2019","IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, CHILECON 2019","","","8987528","","","","3","10.1109/CHILECON47746.2019.8987528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081053834&doi=10.1109%2fCHILECON47746.2019.8987528&partnerID=40&md5=7a04101c558266eb48956f2332241713","This document describes the design and implementation of a wireless sensor network applied in the conventional agriculture of Arenillas Canton, Province of El Oro-Ecuador; this monitoring and control system is capable of measuring and transmitting the collected values of temperature, soil moisture, wind speed, radiation and detection of pests, will also be coupled an automatic sprinkler irrigation system, where its operation is based mainly on the comparison of the data obtained by each of the sensors that are located throughout the crop obtaining greater efficiency and less waste of water and supplies. The topology and the communication architecture between the coordinating nodes, router nodes and sensor nodes is based on the ZigBee standard, with this system to be implemented, it will allow us to efficiently use the natural resources that surround us such as the earth, water, sun, wind and rain that combined with inputs (fertilizers) would help us improve the reliability, sustainability, intensification, green growth and sustainable development of agricultural production. © 2019 IEEE.","control; irrigation; Smart agriculture; telecommunications; weather station; wireless sensor network; ZigBee","Control engineering; Irrigation; Routers; Soil moisture; Sprinkler systems (irrigation); Sustainable development; Telecommunication; Wind; Wireless sensor networks; Zigbee; Agricultural productions; Communication architectures; Conventional agricultures; Design and implementations; Monitoring and control systems; Smart agricultures; Sprinkler irrigation; Weather stations; Sensor nodes","","","Conference paper","Final","","Scopus","2-s2.0-85081053834"
"Icaza D.; Conce H.; Flores P.; Conce F.","Icaza, Daniel (57193059185); Conce, Hector (57201060785); Flores, Pablo (57193066155); Conce, Flavio (57193060679)","57193059185; 57201060785; 57193066155; 57193060679","Dimensioning of the main mechanical elements and final assembly of the DIAWIND-A2 wind turbine","2017","2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies, CHILECON 2017 - Proceedings","2017-January","","","1","6","5","10","10.1109/CHILECON.2017.8229551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043267999&doi=10.1109%2fCHILECON.2017.8229551&partnerID=40&md5=c32d4e62b3ba44883162f1b8eb62cca9","In this article we present the process of dimensioning the main elements of the wind turbine, on all the elements that are subjected to a rotation, to be assembled all the elements and assemble the wind turbine DIAWIND-A2. This wind turbine was built to supply power to rural homes and has the ability to self-position after census of the direction of greater wind flow through a weather vane. Wind turbines such as this can produce in the series for remote areas of Ecuador and neighboring countries, this research can be improved and make values as eligible as possible. © 2017 IEEE.","Mechanical design; Modeling; Renewable energy; Smart Grids; Wind turbine","Electric power transmission networks; Meteorological instruments; Models; Smart power grids; Ecuador; Final assembly; Mechanical design; Mechanical elements; Remote areas; Renewable energies; Smart grid; Wind flow; Wind turbines","","","Conference paper","Final","","Scopus","2-s2.0-85043267999"
"Cabrera J.B.; Fernando V.M.; Arias P.; Icaza D.","Cabrera, J.B. (57201060533); Fernando, Veiga Manuel (57205531843); Arias, P. (57205935614); Icaza, D. (57193059185)","57201060533; 57205531843; 57205935614; 57193059185","Concepts Game Theory Applied in Smart Grid","2018","2018 IEEE ANDESCON, ANDESCON 2018 - Conference Proceedings","","","8564682","","","","1","10.1109/ANDESCON.2018.8564682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060396925&doi=10.1109%2fANDESCON.2018.8564682&partnerID=40&md5=97e12da581a94ffafa20853044cb1573","The smart grid is conceived as a large-scale system that includes advanced power, communications, control and information technologies. To adapt these technologies, we must work on mathematical tools and solid techniques that can ensure the exchange of information, an efficient operation, improving in many cases the technical losses of energy and raise their indexes of quality and reliability, making the network capable of to solve any problem especially in the management of demand, customer management, decision making, energy exchange, energy storage, contingency plans, geo-referenced information systems, among others. In this context, this article presents an overview of the potential of applying game theory to address smart electric networks, providing a systematic treatment. © 2018 IEEE.","coaliciones en un juego; Gestión de la Demanda; Micro-red eléctrica; Pérdidas de energía; Redes eléctricas inteligentes; Teoría de Juegos","Circuit theory; Decision making; Electric power system control; Electric power transmission networks; Game theory; Information management; Large scale systems; coaliciones en un juego; Contingency plans; Customer managements; Energy exchanges; Exchange of information; Indexes of qualities; Mathematical tools; Technical loss; Smart power grids","","","Conference paper","Final","","Scopus","2-s2.0-85060396925"
